order_date,daily_revenue,daily_orders,aov
2016-09-04,72.89,1,72.89
2016-09-05,59.5,1,59.5
2016-09-15,134.97,1,134.97
2016-10-02,100.0,1,100.0
2016-10-03,463.48,8,57.935
2016-10-04,9940.960000000001,60,165.68266666666668
2016-10-05,8343.25,42,198.64880952380952
2016-10-06,7960.51,49,162.45938775510206
2016-10-07,7228.05,45,160.62333333333333
2016-10-08,8441.85,40,211.04625000000001
2016-10-09,3336.9900000000002,26,128.34576923076924
2016-10-10,3692.57,37,99.79918918918919
2016-12-23,10.9,1,10.9
2017-01-05,396.9,32,12.403125
2017-01-06,916.38,4,229.095
2017-01-07,1351.9,4,337.975
2017-01-08,709.58,6,118.26333333333334
2017-01-09,673.79,5,134.75799999999998
2017-01-10,1434.87,6,239.14499999999998
2017-01-11,2776.16,12,231.34666666666666
2017-01-12,2234.58,13,171.89076923076922
2017-01-13,2505.58,11,227.78
2017-01-14,1112.69,18,61.81611111111111
2017-01-15,2199.57,14,157.11214285714286
2017-01-16,3307.92,19,174.10105263157894
2017-01-17,3302.5299999999997,32,103.20406249999999
2017-01-18,4032.36,33,122.19272727272728
2017-01-19,3553.95,29,122.55
2017-01-20,4035.83,28,144.1367857142857
2017-01-21,2458.6,24,102.44166666666666
2017-01-22,3619.27,30,120.64233333333333
2017-01-23,6581.47,39,168.75564102564104
2017-01-24,5955.17,40,148.87925
2017-01-25,8977.23,62,144.7940322580645
2017-01-26,13157.66,85,154.796
2017-01-27,11432.95,61,187.4254098360656
2017-01-28,5211.01,29,179.69
2017-01-29,6457.66,35,184.50457142857144
2017-01-30,10801.130000000001,51,211.78686274509806
2017-01-31,11116.13,67,165.91238805970147
2017-02-01,8219.75,67,122.68283582089552
2017-02-02,8917.64,68,131.14176470588234
2017-02-03,10183.74,57,178.66210526315788
2017-02-04,13968.16,66,211.63878787878787
2017-02-05,8503.79,75,113.38386666666668
2017-02-06,9539.44,81,117.77086419753087
2017-02-07,14143.48,111,127.41873873873874
2017-02-08,11958.27,90,132.86966666666666
2017-02-09,9190.29,77,119.35441558441559
2017-02-10,14222.64,66,215.49454545454546
2017-02-11,4307.56,45,95.72355555555556
2017-02-12,15126.15,63,240.09761904761905
2017-02-13,10785.15,76,141.90986842105264
2017-02-14,12694.11,71,178.79028169014086
2017-02-15,6770.15,60,112.83583333333333
2017-02-16,6348.04,52,122.0776923076923
2017-02-17,6801.26,45,151.1391111111111
2017-02-18,7297.33,52,140.33326923076922
2017-02-19,3797.9,40,94.9475
2017-02-20,7878.3,63,125.05238095238096
2017-02-21,8285.64,41,202.08878048780485
2017-02-22,8033.05,61,131.6893442622951
2017-02-23,6940.82,59,117.64101694915254
2017-02-24,6682.21,62,107.7775806451613
2017-02-25,4196.59,42,99.91880952380953
2017-02-26,5446.68,45,121.03733333333334
2017-02-27,5844.12,43,135.90976744186045
2017-02-28,11220.76,55,204.01381818181818
2017-03-01,12555.41,95,132.1622105263158
2017-03-02,11377.0,68,167.30882352941177
2017-03-03,12364.44,72,171.72833333333335
2017-03-04,12658.51,77,164.39623376623376
2017-03-05,6954.62,72,96.59194444444444
2017-03-06,10336.64,99,104.41050505050505
2017-03-07,11883.52,81,146.71012345679014
2017-03-08,14612.46,78,187.33923076923077
2017-03-09,11705.54,92,127.23413043478261
2017-03-10,12358.87,88,140.44170454545454
2017-03-11,10852.97,71,152.8587323943662
2017-03-12,6612.16,64,103.315
2017-03-13,16958.05,111,152.77522522522523
2017-03-14,14243.66,99,143.87535353535353
2017-03-15,14999.33,107,140.18065420560748
2017-03-16,14269.78,103,138.54155339805826
2017-03-17,11970.4,65,184.16
2017-03-18,16433.82,73,225.12082191780823
2017-03-19,6649.34,56,118.73821428571429
2017-03-20,17096.49,116,147.38353448275865
2017-03-21,11349.130000000001,93,122.0336559139785
2017-03-22,14188.970000000001,105,135.13304761904763
2017-03-23,16375.55,111,147.52747747747748
2017-03-24,10177.87,77,132.1801298701299
2017-03-25,9423.04,75,125.64053333333335
2017-03-26,6320.95,64,98.76484375
2017-03-27,16356.97,109,150.06394495412843
2017-03-28,12373.11,102,121.305
2017-03-29,8660.54,74,117.03432432432433
2017-03-30,10025.6,74,135.48108108108107
2017-03-31,12199.56,70,174.27942857142855
2017-04-01,17697.37,67,264.1398507462686
2017-04-02,9129.880000000001,65,140.45969230769234
2017-04-03,9156.76,72,127.17722222222223
2017-04-04,12301.65,96,128.1421875
2017-04-05,18902.94,96,196.905625
2017-04-06,23168.89,95,243.88305263157895
2017-04-07,13300.65,85,156.47823529411764
2017-04-08,8785.09,66,133.10742424242426
2017-04-09,8222.65,73,112.6390410958904
2017-04-10,11732.31,87,134.85413793103447
2017-04-11,8296.51,77,107.74688311688313
2017-04-12,8209.2,63,130.3047619047619
2017-04-13,9691.43,60,161.52383333333333
2017-04-14,8168.66,53,154.12566037735849
2017-04-15,8333.94,52,160.26807692307693
2017-04-16,5455.96,49,111.3461224489796
2017-04-17,9416.67,65,144.87184615384615
2017-04-18,21286.72,71,299.8129577464789
2017-04-19,12103.46,97,124.7779381443299
2017-04-20,13373.14,96,139.30354166666666
2017-04-21,8457.71,68,124.3780882352941
2017-04-22,12860.18,83,154.94192771084337
2017-04-23,10038.95,86,116.73197674418606
2017-04-24,15150.03,115,131.73939130434783
2017-04-25,14671.74,111,132.17783783783784
2017-04-26,15919.75,125,127.358
2017-04-27,10300.710000000001,79,130.3887341772152
2017-04-28,15790.49,98,161.12744897959183
2017-04-29,11912.63,73,163.1867123287671
2017-04-30,8091.16,68,118.98764705882353
2017-05-01,12580.27,116,108.45060344827587
2017-05-02,17640.2,125,141.1216
2017-05-03,10053.56,102,98.5643137254902
2017-05-04,13508.55,108,125.07916666666667
2017-05-05,13969.76,110,126.99781818181819
2017-05-06,16219.98,107,151.58859813084112
2017-05-07,17167.87,109,157.50339449541283
2017-05-08,16148.41,122,132.36401639344263
2017-05-09,20837.05,125,166.69639999999998
2017-05-10,20927.49,115,181.9781739130435
2017-05-11,18164.55,126,144.16309523809522
2017-05-12,12635.710000000001,113,111.82044247787611
2017-05-13,9118.65,73,124.91301369863014
2017-05-14,15219.7,112,135.89017857142858
2017-05-15,17962.03,154,116.63655844155844
2017-05-16,21174.88,151,140.23099337748346
2017-05-17,18343.93,141,130.09879432624115
2017-05-18,18245.13,125,145.96104
2017-05-19,18397.67,144,127.7615972222222
2017-05-20,10632.41,72,147.67236111111112
2017-05-21,17426.2,148,117.7445945945946
2017-05-22,25414.2,148,171.71756756756758
2017-05-23,17798.38,125,142.38704
2017-05-24,23350.97,141,165.60971631205675
2017-05-25,15383.79,105,146.51228571428572
2017-05-26,10651.18,78,136.55358974358975
2017-05-27,14139.51,81,174.56185185185186
2017-05-28,9262.62,98,94.5165306122449
2017-05-29,18912.86,158,119.70164556962025
2017-05-30,14345.48,102,140.6419607843137
2017-05-31,20438.15,126,162.2075396825397
2017-06-01,19305.25,124,155.6875
2017-06-02,19131.33,126,151.8359523809524
2017-06-03,10450.35,89,117.41966292134832
2017-06-04,13863.23,101,137.259702970297
2017-06-05,24184.55,146,165.647602739726
2017-06-06,14589.15,133,109.69285714285714
2017-06-07,12771.66,124,102.99725806451613
2017-06-08,18503.079999999998,137,135.05897810218977
2017-06-09,16051.35,106,151.42783018867925
2017-06-10,8220.35,76,108.16250000000001
2017-06-11,14303.56,113,126.58017699115044
2017-06-12,14803.11,125,118.42488
2017-06-13,14016.09,125,112.12872
2017-06-14,20441.670000000002,130,157.2436153846154
2017-06-15,12737.67,107,119.04364485981309
2017-06-16,12908.23,97,133.07453608247422
2017-06-17,11264.77,74,152.22662162162163
2017-06-18,17836.16,90,198.17955555555557
2017-06-19,22764.83,156,145.92839743589744
2017-06-20,10968.33,92,119.22097826086956
2017-06-21,6183.65,35,176.67571428571426
2017-06-22,8826.81,88,100.30465909090908
2017-06-23,13282.98,107,124.14
2017-06-24,8325.65,76,109.54802631578947
2017-06-25,17646.18,105,168.05885714285714
2017-06-26,13414.76,72,186.31611111111113
2017-06-27,16681.61,140,119.15435714285715
2017-06-28,14655.82,120,122.13183333333333
2017-06-29,12169.53,110,110.63209090909092
2017-06-30,12736.89,93,136.9558064516129
2017-07-01,12151.75,80,151.896875
2017-07-02,11489.44,105,109.4232380952381
2017-07-03,16611.05,117,141.97478632478632
2017-07-04,15484.24,123,125.88813008130082
2017-07-05,20789.56,140,148.49685714285715
2017-07-06,22223.72,148,150.16027027027027
2017-07-07,13662.87,117,116.77666666666667
2017-07-08,10206.86,83,122.97421686746989
2017-07-09,8197.38,90,91.082
2017-07-10,17326.93,140,123.76378571428572
2017-07-11,20213.79,162,124.77648148148148
2017-07-12,19180.22,149,128.72630872483222
2017-07-13,14531.0,137,106.06569343065694
2017-07-14,18745.15,149,125.80637583892619
2017-07-15,10930.56,98,111.53632653061224
2017-07-16,13421.6,112,119.83571428571429
2017-07-17,21554.98,163,132.23914110429448
2017-07-18,28238.2,190,148.6221052631579
2017-07-19,16545.34,150,110.30226666666667
2017-07-20,19174.08,141,135.9863829787234
2017-07-21,13448.85,114,117.97236842105264
2017-07-22,11456.81,88,130.19102272727272
2017-07-23,12117.61,104,116.51548076923078
2017-07-24,19662.62,161,122.12807453416148
2017-07-25,17482.53,151,115.77834437086092
2017-07-26,11265.23,123,91.58723577235772
2017-07-27,15693.93,123,127.5929268292683
2017-07-28,20043.16,132,151.8421212121212
2017-07-29,15964.27,115,138.81973913043478
2017-07-30,12944.87,117,110.63991452991453
2017-07-31,17272.88,147,117.5025850340136
2017-08-01,21745.04,165,131.7881212121212
2017-08-02,18147.0,155,117.07741935483871
2017-08-03,19125.51,146,130.99664383561642
2017-08-04,18361.62,141,130.22425531914894
2017-08-05,11946.91,115,103.88617391304348
2017-08-06,14181.14,108,131.30685185185186
2017-08-07,23257.84,157,148.1391082802548
2017-08-08,18661.63,146,127.81938356164385
2017-08-09,20756.52,142,146.17267605633802
2017-08-10,19961.55,155,128.7841935483871
2017-08-11,20039.24,138,145.21188405797102
2017-08-12,13980.86,97,144.13257731958763
2017-08-13,12334.19,92,134.06728260869565
2017-08-14,18156.37,156,116.38698717948718
2017-08-15,23727.260000000002,193,122.93917098445597
2017-08-16,23950.42,173,138.44173410404622
2017-08-17,18357.91,155,118.43812903225806
2017-08-18,17132.01,146,117.34253424657533
2017-08-19,12910.13,108,119.53824074074073
2017-08-20,12873.78,103,124.98815533980583
2017-08-21,22219.35,177,125.53305084745762
2017-08-22,16627.12,136,122.25823529411764
2017-08-23,15873.61,111,143.0054954954955
2017-08-24,13361.11,126,106.04055555555556
2017-08-25,15163.32,123,123.2790243902439
2017-08-26,10141.69,93,109.05043010752689
2017-08-27,13367.88,118,113.28711864406779
2017-08-28,22244.52,155,143.51303225806453
2017-08-29,33756.48,137,246.39766423357668
2017-08-30,30938.16,178,173.80988764044943
2017-08-31,20671.51,148,139.67236486486485
2017-09-01,28473.13,158,180.2096835443038
2017-09-02,18128.66,104,174.31403846153847
2017-09-03,27795.41,125,222.36328
2017-09-04,24937.98,148,168.49986486486486
2017-09-05,20981.55,154,136.24383116883115
2017-09-06,25624.61,140,183.03292857142858
2017-09-07,16893.5,97,174.159793814433
2017-09-08,11883.47,115,103.33452173913042
2017-09-09,15082.53,106,142.28801886792454
2017-09-10,17810.27,135,131.92792592592593
2017-09-11,23376.78,178,131.33022471910112
2017-09-12,27136.010000000002,204,133.0196568627451
2017-09-13,27593.28,205,134.60136585365854
2017-09-14,22557.76,166,135.8901204819277
2017-09-15,18373.26,150,122.48839999999998
2017-09-16,21147.37,129,163.9331007751938
2017-09-17,19979.420000000002,125,159.83536
2017-09-18,28487.81,183,155.67109289617488
2017-09-19,20057.95,153,131.09771241830066
2017-09-20,22102.55,161,137.28291925465837
2017-09-21,19015.53,150,126.77019999999999
2017-09-22,16255.12,136,119.5229411764706
2017-09-23,10513.5,85,123.68823529411765
2017-09-24,13049.75,113,115.48451327433628
2017-09-25,17987.1,133,135.24135338345863
2017-09-26,21681.9,179,121.12793296089386
2017-09-27,20646.920000000002,144,143.3813888888889
2017-09-28,23264.52,142,163.83464788732394
2017-09-29,30878.56,116,266.1944827586207
2017-09-30,12685.49,109,116.38064220183486
2017-10-01,18821.27,128,147.041171875
2017-10-02,21764.65,142,153.27218309859157
2017-10-03,26118.57,198,131.9119696969697
2017-10-04,21197.7,157,135.0171974522293
2017-10-05,25517.52,140,182.268
2017-10-06,17084.670000000002,126,135.59261904761905
2017-10-07,15376.02,103,149.28174757281553
2017-10-08,16539.010000000002,124,133.37911290322583
2017-10-09,30337.79,191,158.83659685863876
2017-10-10,28151.13,180,156.39516666666668
2017-10-11,22669.37,156,145.31647435897435
2017-10-12,18754.23,140,133.9587857142857
2017-10-13,22881.19,151,151.531059602649
2017-10-14,13528.82,116,116.62775862068965
2017-10-15,18751.85,120,156.26541666666665
2017-10-16,30580.16,194,157.6296907216495
2017-10-17,29675.77,197,150.6384263959391
2017-10-18,27257.79,176,154.87380681818183
